route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
13,15,t3B1-b2332-slF,"Northside - TCAT",1,9010,39690_shp,0,0
13,15,t3ED-b2332-slF,"Cayuga Park Medical Office - Downtown",0,9010,39697_shp,0,0
13,15,t406-b2332-slF,"Northside - TCAT",1,9010,39690_shp,0,0
13,15,t41A-b2332-slF,"Cayuga Park Medical Office - Downtown",0,9010,39697_shp,0,0
13,15,t45B-b2332-slF,"Northside - TCAT",1,9010,39690_shp,0,0
13,15,t46F-b2332-slF,"Cayuga Park Medical Office - Downtown",0,9010,39697_shp,0,0
13,15,t4B0-b2332-slF,"Northside - TCAT",1,9010,39690_shp,0,0
13,15,t4C4-b2332-slF,"Cayuga Park Medical Office - Downtown",0,9010,39697_shp,0,0
13,15,t4DD-b2332-slF,"Northside - TCAT",1,9010,39690_shp,0,0
13,15,t519-b2332-slF,"Cayuga Park Medical Office - Downtown",0,9010,39697_shp,0,0
13,15,t532-b2332-slF,"Northside - TCAT",1,9010,39690_shp,0,0
13,15,t546-b2332-slF,"Cayuga Park Medical Office - Downtown",0,9010,39697_shp,0,0
13,15,t587-b2332-slF,"Northside - TCAT",1,9010,39690_shp,0,0
13,15,t59B-b2332-slF,"Cayuga Park Medical Office - Downtown",0,9010,39697_shp,0,0
13,15,t5DC-b2332-slF,"Northside - TCAT",1,9010,39690_shp,0,0
13,15,t5F0-b2332-slF,"Cayuga Park Medical Office - Downtown",0,9010,39697_shp,0,0
13,15,t609-b2332-slF,"Northside - TCAT",1,9010,39690_shp,0,0
13,15,t645-b2332-slF,"Cayuga Park Medical Office - Downtown",0,9010,39697_shp,0,0
13,15,t65E-b2332-slF,"Northside - TCAT",1,9010,39690_shp,0,0
13,15,t672-b2332-slF,"Cayuga Park Medical Office - Downtown",0,9010,39697_shp,0,0
13,15,t6B3-b2332-slF,"Northside - TCAT",1,9010,39690_shp,0,0
13,15,t6C7-b2332-slF,"Cayuga Park Medical Office - Downtown",0,9010,39697_shp,0,0
